101,KAS BESAR,ASET LANCAR
102,KAS KECIL,ASET LANCAR
103,BANK BCA,ASET LANCAR
104,BANK NTT,ASET LANCAR
105,BANK MANDIRI,ASET LANCAR
106,BANK BRI,ASET LANCAR
107,BANK BNI,ASET LANCAR
108,PERSEDIAAN BARANG DAGANG,ASET LANCAR
109,PERSEDIAAN BARANG JASA,ASET LANCAR
110,PIUTANG USAHA,ASET LANCAR
111,PIUTANG KARYAWAN,ASET LANCAR
112,PIUTANG LAIN-LAIN,ASET LANCAR
113,PERLENGKAPAN KANTOR,ASET LANCAR
114,UANG MUKA PEMBELIAN,ASET LANCAR
115,BIAYA DIBAYAR DI MUKA,ASET LANCAR
116,SEWA DIBAYAR DI MUKA,ASET LANCAR
117,PPN MASUKAN,ASET LANCAR
133,PIUTANG DENDA BARANG,ASET LANCAR
150,PAJAK DIBAYAR DI MUKA PPh 21,ASET LANCAR
151,PAJAK DIBAYAR DI MUKA PPh 22,ASET LANCAR
152,PAJAK DIBAYAR DI MUKA PPh 23/26,ASET LANCAR
153,PAJAK DIBAYAR DI MUKA PPh 24,ASET LANCAR
154,PAJAK DIBAYAR DI MUKA PPh 25/29,ASET LANCAR
155,PAJAK DIBAYAR DI MUKA PPh FINAL,ASET LANCAR
180,AKTIVA LANCAR LAINNYA,ASET LANCAR
181,TANAH & BANGUNAN,ASET TETAP
182,AKUMULASI PENYUSUTAN TANAH & BANGUNAN,ASET TETAP
183,PERALATAN KANTOR,ASET TETAP
184,AKUMULASI PENYUSUTAN PERALATAN KANTOR,ASET TETAP
185,PERALATAN GUDANG,ASET TETAP
186,AKUMULASI PENYUSUTAN PERALATAN GUDANG,ASET TETAP
187,PERALATAN TOKO,ASET TETAP
188,AKUMULASI PENYUSUTAN PERALATAN TOKO,ASET TETAP
189,KENDARAAN,ASET TETAP
190,AKUMULASI PENYUSUTAN KENDARAAN,ASET TETAP
195,BANGUNAN DALAM PENYELESAIAN,ASET LAIN – LAIN
196,SOFTWARE COMPUTER PROGRAM,ASET LAIN – LAIN
197,HAK PATEN/HAK CIPTA/MEREK DAGANG,ASET LAIN – LAIN
199,AKTIVA LAINNYA,ASET LAIN – LAIN
200,HUTANG PEMEGANG KEPENTINGAN,KEWAJIBAN LANCAR
201,HUTANG DAGANG,KEWAJIBAN LANCAR
202,HUTANG USAHA JASA,KEWAJIBAN LANCAR
203,HUTANG AFILIASI,KEWAJIBAN LANCAR
204,HUTANG GAJI ,KEWAJIBAN LANCAR
205,HUTANG BIAYA INSENTIF,KEWAJIBAN LANCAR
206,HUTANG BIAYA LEMBUR,KEWAJIBAN LANCAR
207,HUTANG BPJS ,KEWAJIBAN LANCAR
231,HUTANG PAJAK PPh 21,KEWAJIBAN LANCAR
232,HUTANG PAJAK PPh 23,KEWAJIBAN LANCAR
233,HUTANG PAJAK PPh 25,KEWAJIBAN LANCAR
234,HUTANG PAJAK PPh 26,KEWAJIBAN LANCAR
235,HUTANG PAJAK FINAL PP 46/23,KEWAJIBAN LANCAR
236,HUTANG PAJAK FINAL 4(2),KEWAJIBAN LANCAR
237,HUTANG PAJAK PPh 29,KEWAJIBAN LANCAR
245,PPN KELUARAN,KEWAJIBAN LANCAR
246,PENDAPATAN DITERIMA DI MUKA - BARANG,KEWAJIBAN LANCAR
247,PENDAPATAN DITERIMA DI MUKA - JASA,KEWAJIBAN LANCAR
248,SEWA DITERIMA DI MUKA,KEWAJIBAN LANCAR
260,KEWAJIBAN LANCAR LAINNYA,KEWAJIBAN LANCAR
261,HUTANG BANK,KEWAJIBAN JANGKA PANJANG
262,HUTANG BANK BCA,KEWAJIBAN JANGKA PANJANG
270,HUTANG LEASING,KEWAJIBAN JANGKA PANJANG
279,KEWAJIBAN JANGKA PANJANG LAINNYA,KEWAJIBAN JANGKA PANJANG
280,HUTANG ASET,KEWAJIBAN LAIN – LAIN
299,HUTANG LAIN LAIN,KEWAJIBAN LAIN – LAIN
300,MODAL,EKUITAS
301,MODAL DISETOR (TAMBAHAN),EKUITAS
302,AGIO SAHAM,EKUITAS
310,PRIVE,EKUITAS
311,DIVIDEN,EKUITAS
350,LABA DI TAHAN,EKUITAS
398,LABA/RUGI PERIODE SEBELUMNYA,EKUITAS
399,LABA/RUGI PERIODE BERJALAN,EKUITAS
400,PENJUALAN BARANG,PENDAPATAN
402,PENJUALAN JASA,PENDAPATAN
403,RETUR PENJUALAN BARANG,PENDAPATAN
404,DISKON PENJUALAN BARANG,PENDAPATAN
405,RETUR PENJUALAN JASA,PENDAPATAN
406,DISKON PENJUALAN JASA,PENDAPATAN
409,PENJUALAN BAHAN BAKU,PENDAPATAN
410,RETUR PENJUALAN BAHAN BAKU,PENDAPATAN
411,DISKON PENJUALAN BAHAN BAKU,PENDAPATAN
499,PENDAPATAN USAHA LAINNYA,PENDAPATAN
500,BEBAN GAJI EKSEKUTIF,BEBAN OPERASIONAL DAN ADMINISTRASI
501,BEBAN PERLENGKAPAN,BEBAN OPERASIONAL DAN ADMINISTRASI
502,BEBAN DISKON PENJUALAN JASA,BEBAN OPERASIONAL DAN ADMINISTRASI
503,BEBAN TRANSPORT,BEBAN OPERASIONAL DAN ADMINISTRASI
504,BEBAN SEWA,BEBAN OPERASIONAL DAN ADMINISTRASI
505,BEBAN GAJI,BEBAN OPERASIONAL DAN ADMINISTRASI
506,BEBAN LISTRIK,BEBAN OPERASIONAL DAN ADMINISTRASI
507,BEBAN AIR,BEBAN OPERASIONAL DAN ADMINISTRASI
508,BEBAN TELEPON & INTERNET,BEBAN OPERASIONAL DAN ADMINISTRASI
509,BEBAN PENYUSUTAN TANAH & BANGUNAN,BEBAN OPERASIONAL DAN ADMINISTRASI
